X,Y,Z,class
0.06,-1.10,0.00,3
0.33,51.20,-72.90,3
0.00,-1.16,-0.12,3
0.06,-1.10,0.00,3
0.15,51.38,-73.38,3
0.12,-1.22,0.06,3
0.06,-1.10,0.00,3
0.07,51.49,-73.23,3
-0.06,-1.10,0.00,3
0.06,-1.10,0.00,3
0.11,51.44,-72.67,3
0.00,-1.04,-0.12,3
0.06,-1.10,0.00,3
0.06,51.51,-72.29,3
0.12,-1.10,-0.06,3
0.06,-1.10,0.00,3
0.43,51.73,-73.74,3
0.00,-0.98,-0.06,3
0.06,-1.10,0.00,3
0.04,51.61,-73.32,3
0.06,-1.34,-0.06,3
0.06,-1.10,0.00,3
0.60,51.71,-73.13,3
0.00,-1.28,-0.12,3
0.06,-1.10,0.00,3
0.44,51.79,-73.33,3
-0.12,-0.92,0.00,3
0.06,-1.10,0.00,3
0.52,52.08,-72.62,3
0.06,-1.04,-0.06,3
0.06,-1.10,0.00,3
0.20,51.61,-72.49,3
0.06,-1.16,0.06,3
0.06,-1.10,0.00,3
0.81,52.06,-72.89,3
-0.06,-1.22,-0.12,3
0.06,-1.10,0.00,3
0.52,51.81,-73.80,3
0.00,-1.40,0.00,3
0.06,-1.10,0.00,3
0.24,51.65,-73.29,3
-0.06,-1.40,-0.12,3
-0.12,-1.34,-0.18,3
-0.09,52.71,-72.57,3
0.18,-1.22,-0.12,3
-0.12,-1.34,-0.18,3
0.70,52.31,-73.19,3
0.06,-1.53,0.00,3
-0.12,-1.34,-0.18,3
0.73,52.06,-74.12,3
0.06,-0.98,0.12,3
-0.12,-1.34,-0.18,3
0.32,51.56,-72.36,3
-0.06,-1.16,-0.18,3
-0.12,-1.34,-0.18,3
0.13,51.86,-72.19,3
-0.12,-1.16,-0.31,3
-0.12,-1.34,-0.18,3
0.35,51.72,-72.83,3
0.06,-1.40,0.00,3
-0.12,-1.34,-0.18,3
0.45,51.76,-73.39,3
0.00,-1.28,-0.06,3
-0.12,-1.34,-0.18,3
0.20,51.83,-73.73,3
0.00,-1.28,-0.06,3
-0.12,-1.34,-0.18,3
