X,Y,Z,class
0.31,-1.77,0.37,1
0.55,-42.02,-105.48,1
0.24,-1.71,0.24,1
0.31,-1.77,0.37,1
0.09,-41.93,-106.08,1
0.24,-1.71,0.31,1
0.31,-1.77,0.37,1
0.55,-41.71,-105.57,1
0.18,-1.71,0.49,1
0.31,-1.77,0.37,1
-0.24,-42.22,-105.98,1
0.06,-1.83,0.31,1
0.06,-1.65,0.43,1
0.22,-41.80,-105.57,1
0.18,-1.77,0.49,1
0.06,-1.65,0.43,1
0.46,-41.66,-105.32,1
0.18,-1.77,0.43,1
0.06,-1.65,0.43,1
0.54,-41.49,-104.98,1
0.18,-1.83,0.37,1
0.06,-1.65,0.43,1
0.56,-41.64,-105.15,1
0.12,-1.71,0.43,1
0.06,-1.65,0.43,1
0.66,-42.50,-105.49,1
0.18,-1.65,0.31,1
0.06,-1.65,0.43,1
0.43,-42.20,-105.38,1
0.24,-1.71,0.43,1
0.06,-1.65,0.43,1
0.18,-41.81,-105.35,1
0.24,-1.71,0.31,1
0.06,-1.65,0.43,1
0.09,-41.94,-104.66,1
0.00,-1.83,0.37,1
0.06,-1.65,0.43,1
0.21,-41.97,-105.44,1
0.31,-1.65,0.24,1
0.06,-1.65,0.43,1
0.45,-42.75,-105.76,1
0.12,-2.01,0.31,1
0.06,-1.65,0.43,1
0.35,-42.22,-106.09,1
0.18,-1.71,0.31,1
0.06,-1.65,0.43,1
0.49,-42.26,-105.81,1
0.31,-1.71,0.24,1
0.18,-1.53,0.37,1
-0.15,-42.58,-105.32,1
0.12,-1.65,0.31,1
0.18,-1.53,0.37,1
-0.02,-42.53,-105.43,1
0.06,-1.71,0.24,1
0.18,-1.53,0.37,1
0.35,-42.13,-105.93,1
0.18,-1.71,0.31,1
0.18,-1.53,0.37,1
0.22,-42.35,-106.26,1
0.06,-1.83,0.24,1
0.18,-1.53,0.37,1
0.59,-42.50,-106.04,1
0.00,-1.71,0.43,1
0.18,-1.53,0.37,1
0.44,-41.78,-106.42,1
0.18,-1.59,0.18,1
